"cuadrID","cUTM10","Gpy2002","Area100","lati","long","Gpy_P","Gpy_F","Gpy2015","Gpy2002A100","Gpy2015A100"
3639,"30TVM54",1,1,41.9575272,-3.5454545,0.0539506059089494,0.337105428857831,1,1,1
3640,"30TVM55",0,1,42.0462189,-3.5454545,0.0676174229530735,0.392725049039083,0,0,0
3641,"30TVM56",0,1,42.1344528,-3.5454545,0.159880186982346,0.629223208054314,0,0,0
3642,"30TVM57",0,1,42.226265,-3.5454545,0.321891016447443,0.808904975797775,0,0,0
3643,"30TVM58",0,1,42.3185654,-3.5454545,0.372388362030628,0.841044643341676,0,0,0
3644,"30TVM59",0,1,42.406723,-3.5462441,0.234822255465374,0.73237900046384,0,0,0
3645,"30TVM60",0,1,41.5906792,-3.4213481,0.0616062761846764,0.369258252825037,0,0,0
3646,"30TVM61",0,1,41.6779747,-3.4224858,0.0746425375925933,0.418371063154631,0,0,0
3647,"30TVM62",0,1,41.7711868,-3.4259913,0.111988193284902,0.529319832916867,0,0,0
3648,"30TVM63",0,1,41.8644066,-3.4261363,0.133935995499978,0.579667561771697,0,0,0
3649,"30TVM64",1,1,41.9576263,-3.4261363,0.102365687081195,0.504198509740939,1,1,1
3650,"30TVM65",1,1,42.0462189,-3.4261363,0.114028556760666,0.534388080649897,1,1,1
3651,"30TVM66",1,1,42.1344528,-3.4261363,0.275408261048289,0.772178239164748,1,1,1
3652,"30TVM67",0,1,42.2268906,-3.4261363,0.634170302588785,0.939240906399846,0,0,0
3653,"30TVM68",0,1,42.318718,-3.4267478,0.540823490140583,0.913066392055498,0,0,0
3654,"30TVM69",0,1,42.406723,-3.4304988,0.288329330252558,0.783213732396514,0,0,0
3655,"30TVM70",0,1,41.5903893,-3.3041508,0.0695926650401588,0.400121787814811,0,0,0
3656,"30TVM71",0,1,41.67799,-3.3066199,0.0825117378953818,0.445049452745111,0,0,0
3657,"30TVM72",0,1,41.7711868,-3.3068182,0.120276440155294,0.549386116794478,0,0,0
3658,"30TVM73",0,1,41.8644066,-3.3068182,0.171479015630773,0.648584807802678,0,0,0
3659,"30TVM74",0,1,41.9576263,-3.3068182,0.136929097135344,0.585883112538927,0,0,0
3660,"30TVM75",0,1,42.0462189,-3.3068182,0.172598106164315,0.650373390315191,0,0,0
3661,"30TVM76",0,1,42.1344528,-3.3068182,0.46264535879196,0.88476087915517,0,0,0
3662,"30TVM77",1,1,42.2268906,-3.3071959,0.770311461806574,0.967644362225239,1,1,1
3663,"30TVM78",0,1,42.3193283,-3.3098483,0.649940156223836,0.943041201205378,0,0,0
3664,"30TVM79",1,1,42.406723,-3.3103449,0.314442505635567,0.80354100838348,1,1,1
3665,"30TVM80",0,1,41.5889816,-3.1817462,0.0810410174900238,0.440217239996732,0,0,0
3666,"30TVM81",0,1,41.6779671,-3.1818182,0.0986130394734822,0.49381893501727,0,0,0
3667,"30TVM82",0,1,41.7711868,-3.1818182,0.167840152032884,0.642674932828515,0,0,0
3668,"30TVM83",0,1,41.8644066,-3.1818182,0.22516876112317,0.721559519498101,0,0,0
3669,"30TVM84",0,1,41.9576263,-3.1818182,0.237752939439689,0.735550124476808,0,0,0
3670,"30TVM85",0,1,42.0462189,-3.1818182,0.409238735828633,0.860673165625034,0,0,0
3671,"30TVM86",1,1,42.1344528,-3.1820178,0.570630391078187,0.92218626138301,1,1,1
3672,"30TVM87",1,1,42.2268906,-3.1835897,0.820558988793385,0.976064008075727,1,1,1
3673,"30TVM88",1,1,42.318634,-3.183908,0.640184067706011,0.940708578481498,1,1,1
3674,"30TVM89",1,1,42.406723,-3.183908,0.314696728037886,0.803727070610495,1,1,1
