id,utm10,lati,longi,training,predicted,testing
2,29SMC58,38.7280273,-9.4710312,0,1.12E-14,0
3,29SMC59,38.7935905,-9.4767885,0,2.22E-14,0
4,29SMC68,38.7310486,-9.4041157,0,4.20E-14,0
5,29SMC69,38.8099289,-9.4063292,0,2.84E-14,0
6,29SMC77,38.657402,-9.2492819,0,1.30E-12,0
6,29SMC77,38.657402,-9.2492819,0,1.30E-12,0
7,29SMC78,38.7272873,-9.2939882,0,5.79E-13,0
7,29SMC78,38.7272873,-9.2939882,0,5.79E-13,0
8,29SMC79,38.8113098,-9.289712,0,2.31E-13,0
9,29SMC85,38.453968,-9.1634836,0,9.41E-12,0
10,29SMC86,38.5428543,-9.1589155,0,5.90E-12,0
11,29SMC87,38.6283798,-9.1735916,0,3.85E-12,0
12,29SMC88,38.7266541,-9.1767273,0,5.84E-12,0
12,29SMC88,38.7266541,-9.1767273,0,5.84E-12,0
13,29SMC89,38.8106232,-9.1731901,0,3.01E-12,0
14,29SMC95,38.4690132,-9.0598927,0,5.95E-11,0
15,29SMC96,38.5374146,-9.0579805,0,2.83E-11,0
16,29SMC97,38.628067,-9.0556517,0,2.68E-11,0
17,29SMC98,38.7202835,-9.0474348,0,3.19E-11,0
17,29SMC98,38.7202835,-9.0474348,0,3.19E-11,0
17,29SMC98,38.7202835,-9.0474348,0,3.19E-11,0
18,29SMC99,38.8162766,-9.0963001,0,5.01E-12,0
18,29SMC99,38.8162766,-9.0963001,0,5.01E-12,0
19,29SMD60,38.8989449,-9.3902521,0,5.71E-15,0
20,29SMD61,38.9931297,-9.3835382,0,2.58E-15,0
21,29SMD62,39.0779457,-9.3814411,0,1.41E-15,0
22,29SMD63,39.1470222,-9.3632183,0,1.77E-15,0
23,29SMD65,39.3654404,-9.3758688,0,3.61E-16,0
24,29SMD70,38.9006615,-9.2908602,0,4.78E-14,0
25,29SMD71,38.9902039,-9.291852,0,1.55E-14,0
26,29SMD72,39.0808716,-9.2921457,0,7.07E-15,0
