"cuadrID","cUTM10","utm10","LLU_1998","LLU98_P","cat","cat_","p_lontra34","a_lontra34","LLU_2008","survey2008","LLU98_D","Llu2015","lati","long","lonUTM","latUTM","lonMoll","latMoll","newpres"
84,"29SPC72","PC72",1,0.694324457301038,1289,19053,0,0,0,0,1,1,38.1656075,-6.9814515,151144.236191961,4231756.7641945,-602638.650364802,4583345.76891999,NA
85,"29SPC73","PC73",1,0.641584232352558,1290,19054,1,0,1,1,1,1,38.2450485,-6.9926534,150543.088331354,4240618.81137153,-603194.129647313,4592310.46360002,0
86,"29SPC74","PC74",1,0.59059420041254,1291,19055,1,0,1,1,1,1,38.3313942,-6.9889145,151284.668397382,4250191.06877197,-602423.576713289,4602050.16703288,0
87,"29SPC75","PC75",0,0.519392868356418,1292,19056,1,0,1,1,0.915820856385691,1,38.4233017,-6.9876208,151839.424354154,4260390.13928159,-601834.072238979,4612412.45417433,1
88,"29SPC76","PC76",0,0.469625618995002,1293,19057,1,0,1,1,0.871258439470345,1,38.5113068,-6.9851532,152478.394582957,4270151.57838889,-601162.857341403,4622330.12459884,1
89,"29SPC77","PC77",0,0.449480082053623,1294,19058,1,0,1,1,0.82296849948659,1,38.602169,-6.9844799,152975.108796563,4280237.09249583,-600630.200849701,4632565.00538082,1
90,"29SPC78","PC78",0,0.379641308465012,1295,19059,1,0,1,1,0.82640605029754,0,38.6913643,-6.9781303,153958.424475502,4290116.12538064,-599617.422718236,4642607.39905596,1
91,"29SPC79","PC79",0,0.289341236460013,1296,19060,0,1,0,1,0.833311979970246,0,38.7824745,-6.9796619,154265.525585776,4300237.66672828,-599270.966597849,4652860.5436352,0
92,"29SPC80","PC80",0,0.769361316802591,1359,19411,1,0,1,1,0.918938144519233,1,37.9747391,-6.8813772,159029.49515113,4210194.45081487,-594969.436438121,4561791.83677862,1
93,"29SPC81","PC81",1,0.760332509035964,1360,19412,1,0,1,1,1,1,38.0629387,-6.8798671,159571.224808711,4219980.5896623,-594391.754290059,4571754.45335086,0
94,"29SPC82","PC82",1,0.709037723460314,1361,19413,1,0,1,1,1,1,38.1536331,-6.8789778,160070.619323019,4230046.05142484,-593854.059697191,4581994.17325686,0
95,"29SPC83","PC83",1,0.654007791778107,1362,19414,1,0,1,1,1,1,38.2409821,-6.8770633,160644.855180431,4239736.4232848,-593243.933730207,4591851.67088121,0
96,"29SPC84","PC84",1,0.587595010050274,1363,19415,1,0,1,1,1,1,38.3312035,-6.8742504,161311.440938492,4249742.46199434,-592540.847866878,4602028.66106582,0
97,"29SPC85","PC85",0,0.525757810443484,1364,19416,0,0,0,0,0.918858175438853,1,38.4194527,-6.8710494,162002.944942196,4259528.19604691,-591813.647586913,4611978.59038737,0
98,"29SPC86","PC86",0,0.467294763772858,1365,19417,1,0,1,1,0.872691817684837,1,38.5091286,-6.8723173,162311.387785407,4269488.82000292,-591463.050242307,4622084.70874257,1
99,"29SPC87","PC87",0,0.417521095338916,1366,19418,1,0,1,1,0.873823760017469,1,38.5993919,-6.8680739,163103.868740171,4279494.48133074,-590634.154001634,4632252.25976412,1
100,"29SPC88","PC88",0,0.314999482622221,1367,19419,0,0,0,0,0.898359386746759,1,38.6913338,-6.8656602,163744.91432404,4289693.31072347,-589953.238836711,4642603.96589834,0
101,"29SPC89","PC89",0,0.260448416219013,1368,19420,1,0,1,1,0.874081447928803,0,38.7787132,-6.8630142,164385.049949676,4299384.81739438,-589275.07148351,4652437.36040974,1
102,"29SPC90","PC90",0,0.763332197049528,1432,19749,1,0,1,1,0.896003486207814,1,37.9734955,-6.7703977,168776.693046944,4209655.07822743,-585380.255307875,4561651.33335853,1
103,"29SPC91","PC91",0,0.799519740781535,1433,19750,1,0,1,1,0.921116847800676,0,38.0627365,-6.7664137,169528.498079989,4219547.86279643,-584590.864227208,4571731.6189265,1
104,"29SPC92","PC92",1,0.727588248275114,1434,19751,0,1,0,1,1,1,38.1483612,-6.7648711,170049.907824128,4229047.96062649,-584029.73889168,4581399.08763546,NA
105,"29SPC93","PC93",0,0.656629420588226,1435,19752,0,0,0,0,0.919334084169632,1,38.2411957,-6.7622662,170697.335749819,4239344.74900073,-583339.989944965,4591875.77060057,0
106,"29SPC94","PC94",1,0.596134071153569,1436,19753,1,0,1,1,1,1,38.3289223,-6.7605262,171246.298527541,4249077.64275738,-582749.608336458,4601771.39978692,0
107,"29SPC95","PC95",1,0.524624691100062,1437,19754,1,0,1,1,1,1,38.4166451,-6.7595,171733.300386455,4258812.73784072,-582219.873868726,4611662.10895935,0
108,"29SPC96","PC96",0,0.434855934760264,1438,19755,1,0,1,1,0.91716658321969,1,38.5068169,-6.7544255,172585.132880484,4268805.36098358,-581328.40672266,4621824.24851505,1
109,"29SPC97","PC97",0,0.405804659394936,1439,19756,1,0,1,1,0.919051958771279,1,38.5980606,-6.7524695,173169.832982342,4278928.1857119,-580699.247833946,4632102.33260717,1
110,"29SPC98","PC98",1,0.298482543633812,1440,19757,1,0,1,1,1,1,38.6861382,-6.7526393,173555.543983039,4288707.17478846,-580267.90579643,4642019.12793169,0
111,"29SPC99","PC99",0,0.256128270132948,1441,19758,1,0,1,1,0.916591420375626,1,38.7778244,-6.7501678,174188.067780125,4298877.45551675,-579590.320885696,4652337.36045021,1
112,"29SPD28","PD28",1,0.75962470367039,942,16946,1,0,1,1,1,1,39.6353264,-7.510581,112845.287652283,4397090.23732516,-639976.951546199,4748596.91358726,0
113,"29SPD29","PD29",0,0.784971600129792,943,16947,0,0,0,0,0.970029155373838,1,39.6654968,-7.5172415,112442.287230924,4400469.49372194,-640369.662475118,4751975.66049444,0
114,"29SPD37","PD37",0,0.727676292957104,1015,17411,0,0,0,0,0.9314245094257,1,39.5423737,-7.4035988,121524.690834667,4386311.32075794,-631390.601835229,4738183.78465031,0
115,"29SPD38","PD38",1,0.696681483888766,1016,17412,2,0,1,1,1,1,39.610363,-7.4318476,119468.698002823,4393980.8665378,-633410.981608034,4745800.87508363,0
116,"29SPD39","PD39",1,0.698364107513199,1017,17413,0,0,0,0,1,1,39.6617546,-7.4356084,119428.066838175,4399703.80416839,-633437.058260231,4751556.60600479,NA
118,"29SPD45","PD45",0,0.783242464096563,1086,17855,1,0,1,1,0.920100540485935,1,39.3374672,-7.2890491,130289.34142864,4363081.33380633,-622766.376743768,4715210.4737234,1
119,"29SPD46","PD46",1,0.739320708648549,1087,17856,1,0,1,1,1,1,39.4242134,-7.2930355,130404.381920433,4372730.20468363,-622622.860583625,4724939.20599221,0
