idnum,utmcode,lat,lon,alydic2002,alydic2015,alydic_p
2072,30STH59,38.767292,-5.8077631,0,0,2.94E-07
2073,30STH60,37.9567261,-5.6632481,0,0,0.005173589
2074,30STH61,38.0512161,-5.6675048,0,0,0.005016141
2075,30STH62,38.1367035,-5.67349,0,0,0.006619295
2076,30STH63,38.2240829,-5.673913,0,0,0.005916059
2077,30STH64,38.3169899,-5.6779437,0,0,0.002335412
2078,30STH65,38.4102554,-5.683847,0,0,0.000540986
2079,30STH66,38.4994431,-5.6851649,0,0,0.000146089
2080,30STH67,38.5851288,-5.6904836,0,0,1.44E-05
2081,30STH68,38.6753502,-5.6924043,0,0,1.23E-06
2082,30STH69,38.7690887,-5.6969314,0,0,3.04E-07
2083,30STH70,37.9568977,-5.5486307,0,0,0.003577609
2084,30STH71,38.051281,-5.5540271,0,0,0.009011046
2085,30STH72,38.1410255,-5.554348,0,0,0.009781898
2086,30STH73,38.2272186,-5.5576944,0,0,0.006761474
2087,30STH74,38.3188896,-5.5638905,0,0,0.002614966
2088,30STH75,38.4112511,-5.565691,0,0,0.000980394
2089,30STH76,38.5,-5.5701666,0,0,0.00028725
2090,30STH77,38.5893402,-5.571558,0,0,2.59E-05
2091,30STH78,38.679615,-5.5765843,0,0,2.77E-06
2092,30STH79,38.7693863,-5.5822468,0,0,5.06E-07
2093,30STH80,37.9578209,-5.4345255,0,0,0.003178883
2094,30STH81,38.051281,-5.4348173,0,0,0.004515236
2095,30STH82,38.1410255,-5.4376731,0,0,0.006338565
2096,30STH83,38.2307701,-5.4439344,0,0,0.005042057
2097,30STH84,38.3216782,-5.4460173,0,0,0.002269217
2098,30STH85,38.4136963,-5.4496303,0,0,0.000970352
2099,30STH86,38.501358,-5.4507275,0,0,0.00028307
2100,30STH87,38.5897446,-5.4562373,0,0,6.55E-05
2101,30STH88,38.6834564,-5.4614,0,0,7.05E-06
2102,30STH89,38.7741013,-5.461576,0,0,1.05E-06
2103,30STH90,37.9638939,-5.320652,0,0,0.001556935
2104,30STH91,38.0517387,-5.3228588,0,0,0.002671371
2105,30STH92,38.1410255,-5.3295484,0,0,0.005477828
2106,30STH93,38.2307701,-5.3316956,0,0,0.005617285
2107,30STH94,38.3247871,-5.3344049,0,0,0.001560393
2108,30STH95,38.4159126,-5.3353753,0,0,0.000736783
2109,30STH96,38.5042648,-5.3414216,0,0,0.000383146
2110,30STH97,38.5913429,-5.3460379,0,0,0.000106973
2111,30STH98,38.6837616,-5.3461537,0,0,2.67E-05
2112,30STH99,38.7775536,-5.3484049,0,0,2.85E-06
2113,30STJ40,38.8526726,-5.9257579,0,0,2.13E-08
2114,30STJ41,38.9438667,-5.9270101,0,0,7.87E-09
2115,30STJ42,39.0292778,-5.9338002,0,0,7.41E-09
2116,30STJ43,39.1204987,-5.9302626,0,0,1.21E-08
2117,30STJ44,39.2153816,-5.9354577,0,0,3.95E-08
2118,30STJ45,39.3017426,-5.9394579,0,0,1.28E-07
2119,30STJ46,39.3908691,-5.9361234,0,0,3.74E-07
2120,30STJ47,39.4869156,-5.9437909,0,0,8.50E-07
2121,30STJ48,39.5764809,-5.9435396,0,0,5.41E-07
2122,30STJ49,39.6652184,-5.9440765,0,0,2.89E-07
2123,30STJ50,38.8559723,-5.8121543,0,0,5.32E-08
2124,30STJ51,38.9440727,-5.8185868,0,0,3.27E-08
2125,30STJ52,39.0344086,-5.8186812,0,0,2.72E-08
2126,30STJ53,39.1242828,-5.823987,0,0,1.71E-08
2127,30STJ54,39.216713,-5.8291373,0,0,3.39E-08
2128,30STJ55,39.3058853,-5.8305492,0,0,1.65E-07
2129,30STJ56,39.3926964,-5.8375793,0,0,7.70E-07
2130,30STJ57,39.4869576,-5.8388891,0,0,1.03E-06
2131,30STJ58,39.5823784,-5.8429971,0,0,3.26E-07
2132,30STJ59,39.6679039,-5.8499012,0,0,2.05E-07
2133,30STJ60,38.8616829,-5.7030935,0,0,7.21E-08
2134,30STJ61,38.9459381,-5.7032967,0,0,5.75E-08
2135,30STJ62,39.0344849,-5.7074795,0,0,3.93E-08
2136,30STJ63,39.1291313,-5.7132111,0,0,3.15E-08
2137,30STJ64,39.2194595,-5.7152143,0,0,7.36E-08
2138,30STJ65,39.3077698,-5.7210789,0,0,6.46E-07
2139,30STJ66,39.3963852,-5.7222223,0,0,1.19E-05
2140,30STJ67,39.4880333,-5.7262988,0,0,9.16E-06
2141,30STJ68,39.5826073,-5.7331195,0,0,1.19E-06
2142,30STJ69,39.6737175,-5.7333331,0,0,4.09E-07
2143,30STJ70,38.8631744,-5.5824661,0,0,1.22E-07
